timestamp,fear_greed
2020-11-10,90
2020-11-09,90
2020-11-08,82
2020-11-07,88
2020-11-06,90
2020-11-05,72
2020-11-04,74
2020-11-03,71
2020-11-02,71
2020-11-01,72
2020-10-31,73
2020-10-30,74
2020-10-29,67
2020-10-28,70
2020-10-27,61
2020-10-26,75
2020-10-25,76
2020-10-24,73
2020-10-23,74
2020-10-22,73
2020-10-21,61
2020-10-20,56
2020-10-19,55
2020-10-18,55
2020-10-17,56
2020-10-16,52
2020-10-15,56
2020-10-14,53
2020-10-13,56
2020-10-12,52
2020-10-11,55
2020-10-10,53
2020-10-09,48
2020-10-08,46
2020-10-07,43
2020-10-06,47
2020-10-05,42
2020-10-04,42
2020-10-03,40
2020-10-02,41
2020-10-01,45
2020-09-30,49
2020-09-29,45
2020-09-28,43
2020-09-27,47
2020-09-26,45
2020-09-25,46
2020-09-24,39
2020-09-23,43
2020-09-22,39
2020-09-21,48
2020-09-20,52
2020-09-19,48
2020-09-18,49
2020-09-17,48
2020-09-16,43
2020-09-15,47
2020-09-14,39
2020-09-13,38
2020-09-12,41
2020-09-11,41
2020-09-10,38
2020-09-09,38
2020-09-08,41
2020-09-07,41
2020-09-06,41
2020-09-05,41
2020-09-04,40
2020-09-03,79
2020-09-02,83
2020-09-01,75
2020-08-31,75
2020-08-30,75
2020-08-29,79
2020-08-28,74
2020-08-27,75
2020-08-26,76
2020-08-25,75
2020-08-24,78
2020-08-23,76
2020-08-22,78
2020-08-21,81
2020-08-20,75
2020-08-19,80
2020-08-18,82
2020-08-17,83
2020-08-16,82
2020-08-15,79
2020-08-14,78
2020-08-13,75
2020-08-12,75
2020-08-11,84
2020-08-10,78
2020-08-09,79
2020-08-08,77
2020-08-07,77
2020-08-06,79
2020-08-05,75
2020-08-04,72
2020-08-03,75
2020-08-02,80
2020-08-01,75
2020-07-31,75
2020-07-30,76
2020-07-29,71
2020-07-28,76
2020-07-27,58
2020-07-26,55
2020-07-25,55
2020-07-24,53
2020-07-23,55
2020-07-22,50
2020-07-21,44
2020-07-20,44
2020-07-19,41
2020-07-18,44
2020-07-17,41
2020-07-16,43
2020-07-15,44
2020-07-14,43
2020-07-13,43
2020-07-12,41
2020-07-11,44
2020-07-10,41
2020-07-09,44
2020-07-08,44
2020-07-07,43
2020-07-06,40
2020-07-05,38
2020-07-04,40
2020-07-03,41
2020-07-02,42
2020-07-01,42
2020-06-30,44
2020-06-29,41
2020-06-28,40
2020-06-27,43
2020-06-26,40
2020-06-25,43
2020-06-24,50
2020-06-23,41
2020-06-22,38
2020-06-21,37
2020-06-20,38
2020-06-19,39
2020-06-18,40
2020-06-17,38
2020-06-16,39
2020-06-15,37
2020-06-14,40
2020-06-13,38
2020-06-12,38
2020-06-11,52
2020-06-10,54
2020-06-09,52
2020-06-08,53
2020-06-07,54
2020-06-06,54
2020-06-05,53
2020-06-04,54
2020-06-03,48
2020-06-02,56
2020-06-01,50
2020-05-31,51
2020-05-30,48
2020-05-29,48
2020-05-28,41
2020-05-27,39
2020-05-26,39
2020-05-25,41
2020-05-24,43
2020-05-23,40
2020-05-22,42
2020-05-21,49
2020-05-20,52
2020-05-19,50
2020-05-18,50
2020-05-17,40
2020-05-16,41
2020-05-15,44
2020-05-14,40
2020-05-13,41
2020-05-12,39
2020-05-11,40
2020-05-10,48
2020-05-09,56
2020-05-08,55
2020-05-07,49
2020-05-06,42
2020-05-05,40
2020-05-04,44
2020-05-03,45
2020-05-02,40
2020-05-01,40
2020-04-30,44
2020-04-29,26
2020-04-28,26
2020-04-27,28
2020-04-26,21
2020-04-25,24
2020-04-24,20
2020-04-23,19
2020-04-22,19
2020-04-21,17
2020-04-20,15
2020-04-19,16
2020-04-18,18
2020-04-17,15
2020-04-16,13
2020-04-15,18
2020-04-14,15
2020-04-13,11
2020-04-12,10
2020-04-11,15
2020-04-10,15
2020-04-09,22
2020-04-08,21
2020-04-07,20
2020-04-06,12
2020-04-05,12
2020-04-04,12
2020-04-03,14
2020-04-02,14
2020-04-01,12
2020-03-31,12
2020-03-30,10
2020-03-29,12
2020-03-28,8
2020-03-27,12
2020-03-26,14
2020-03-25,13
2020-03-24,12
2020-03-23,10
2020-03-22,11
2020-03-21,9
2020-03-20,9
2020-03-19,12
2020-03-18,11
2020-03-17,8
2020-03-16,9
2020-03-15,12
2020-03-14,8
2020-03-13,10
2020-03-12,14
2020-03-11,17
2020-03-10,16
2020-03-09,17
2020-03-08,33
2020-03-07,38
2020-03-06,39
2020-03-05,41
2020-03-04,40
2020-03-03,38
2020-03-02,38
2020-03-01,39
2020-02-29,38
2020-02-28,40
2020-02-27,39
2020-02-26,41
2020-02-25,44
2020-02-24,46
2020-02-23,46
2020-02-22,43
2020-02-21,44
2020-02-20,44
2020-02-19,50
2020-02-18,53
2020-02-17,49
2020-02-16,59
2020-02-15,64
2020-02-14,63
2020-02-13,65
2020-02-12,61
2020-02-11,52
2020-02-10,57
2020-02-09,56
2020-02-08,56
2020-02-07,56
2020-02-06,61
2020-02-05,53
2020-02-04,56
2020-02-03,59
2020-02-02,57
2020-02-01,57
2020-01-31,55
2020-01-30,57
2020-01-29,57
2020-01-28,54
2020-01-27,50
2020-01-26,42
2020-01-25,41
2020-01-24,40
2020-01-23,49
2020-01-22,52
2020-01-21,49
2020-01-20,48
2020-01-19,53
2020-01-18,51
2020-01-17,54
2020-01-16,55
2020-01-15,54
2020-01-14,56
2020-01-13,49
2020-01-12,45
2020-01-11,50
2020-01-10,41
2020-01-09,44
2020-01-08,51
2020-01-07,40
2020-01-06,41
2020-01-05,39
2020-01-04,38
2020-01-03,38
2020-01-02,39
2020-01-01,37
2019-12-31,38
2019-12-30,40
2019-12-29,37
2019-12-28,37
2019-12-27,38
2019-12-26,39
2019-12-25,22
2019-12-24,25
2019-12-23,33
2019-12-22,20
2019-12-21,23
2019-12-20,23
2019-12-19,21
2019-12-18,15
2019-12-17,23
2019-12-16,24
2019-12-15,21
2019-12-14,27
2019-12-13,22
2019-12-12,23
2019-12-11,20
2019-12-10,26
2019-12-09,32
2019-12-08,28
2019-12-07,32
2019-12-06,29
2019-12-05,21
2019-12-04,24
2019-12-03,28
2019-12-02,28
2019-12-01,25
2019-11-30,38
2019-11-29,31
2019-11-28,32
2019-11-27,20
2019-11-26,21
2019-11-25,17
2019-11-24,21
2019-11-23,23
2019-11-22,20
2019-11-21,30
2019-11-20,32
2019-11-19,32
2019-11-18,38
2019-11-17,38
2019-11-16,41
2019-11-15,38
2019-11-14,41
2019-11-13,38
2019-11-12,39
2019-11-11,40
2019-11-10,39
2019-11-09,38
2019-11-08,42
2019-11-07,54
2019-11-06,53
2019-11-05,54
2019-11-04,49
2019-11-03,56
2019-11-02,51
2019-11-01,49
2019-10-31,50
2019-10-30,53
2019-10-29,54
2019-10-28,52
2019-10-27,50
2019-10-26,53
2019-10-25,24
2019-10-24,20
2019-10-23,33
2019-10-22,39
2019-10-21,37
2019-10-20,37
2019-10-19,41
2019-10-18,40
2019-10-17,40
2019-10-16,40
2019-10-15,39
2019-10-14,37
2019-10-13,38
2019-10-12,38
2019-10-11,39
2019-10-10,41
2019-10-09,37
2019-10-08,39
2019-10-07,27
2019-10-06,32
2019-10-05,31
2019-10-04,30
2019-10-03,37
2019-10-02,39
2019-10-01,38
2019-09-30,27
2019-09-29,33
2019-09-28,32
2019-09-27,24
2019-09-26,12
2019-09-25,15
2019-09-24,39
2019-09-23,41
2019-09-22,37
2019-09-21,37
2019-09-20,41
2019-09-19,31
2019-09-18,38
2019-09-17,41
2019-09-16,38
2019-09-15,38
2019-09-14,39
2019-09-13,38
2019-09-12,39
2019-09-11,38
2019-09-10,41
2019-09-09,41
2019-09-08,43
2019-09-07,39
2019-09-06,43
2019-09-05,41
2019-09-04,43
2019-09-03,41
2019-09-02,28
2019-09-01,24
2019-08-31,20
2019-08-30,24
2019-08-29,20
2019-08-28,32
2019-08-27,30
2019-08-26,41
2019-08-25,33
2019-08-24,39
2019-08-23,33
2019-08-22,5
2019-08-21,11
2019-08-20,39
2019-08-19,30
2019-08-18,14
2019-08-17,20
2019-08-16,31
2019-08-15,13
2019-08-14,11
2019-08-13,45
2019-08-12,48
2019-08-11,45
2019-08-10,59
2019-08-09,60
2019-08-08,61
2019-08-07,45
2019-08-06,66
2019-08-05,64
2019-08-04,62
2019-08-03,61
2019-08-02,61
2019-08-01,57
2019-07-31,31
2019-07-30,22
2019-07-29,19
2019-07-28,16
2019-07-27,47
2019-07-26,24
2019-07-25,42
2019-07-24,20
2019-07-23,40
2019-07-22,42
2019-07-21,42
2019-07-20,34
2019-07-19,42
2019-07-18,40
2019-07-17,19
2019-07-16,34
2019-07-15,16
2019-07-14,61
2019-07-13,65
2019-07-12,33
2019-07-11,62
2019-07-10,83
2019-07-09,84
2019-07-08,74
2019-07-07,67
2019-07-06,72
2019-07-05,67
2019-07-04,76
2019-07-03,79
2019-07-02,63
2019-07-01,65
2019-06-30,78
2019-06-29,74
2019-06-28,62
2019-06-27,92
2019-06-26,95
2019-06-25,87
2019-06-24,80
2019-06-23,84
2019-06-22,83
2019-06-21,84
2019-06-20,81
2019-06-19,82
2019-06-18,83
2019-06-17,84
2019-06-16,80
2019-06-15,75
2019-06-14,67
2019-06-13,63
2019-06-12,60
2019-06-11,61
2019-06-10,46
2019-06-09,62
2019-06-08,62
2019-06-07,27
2019-06-06,34
2019-06-05,27
2019-06-04,42
2019-06-03,66
2019-06-02,63
2019-06-01,62
2019-05-31,61
2019-05-30,73
2019-05-29,71
2019-05-28,71
2019-05-27,70
2019-05-26,67
2019-05-25,69
2019-05-24,64
2019-05-23,65
2019-05-22,69
2019-05-21,68
2019-05-20,73
2019-05-19,70
2019-05-18,67
2019-05-17,65
2019-05-16,75
2019-05-15,77
2019-05-14,78
2019-05-13,78
2019-05-12,75
2019-05-11,76
2019-05-10,71
2019-05-09,69
2019-05-08,63
2019-05-07,69
2019-05-06,57
2019-05-05,67
2019-05-04,66
2019-05-03,63
2019-05-02,50
2019-05-01,51
2019-04-30,42
2019-04-29,42
2019-04-28,40
2019-04-27,42
2019-04-26,41
2019-04-25,58
2019-04-24,65
2019-04-23,68
2019-04-22,61
2019-04-21,62
2019-04-20,62
2019-04-19,61
2019-04-18,64
2019-04-17,61
2019-04-16,50
2019-04-15,60
2019-04-14,51
2019-04-13,62
2019-04-12,42
2019-04-11,65
2019-04-10,62
2019-04-09,64
2019-04-08,65
2019-04-07,69
2019-04-06,65
2019-04-05,59
2019-04-04,61
2019-04-03,71
2019-04-02,60
2019-04-01,62
2019-03-31,56
2019-03-30,57
2019-03-29,50
2019-03-28,49
2019-03-27,44
2019-03-26,43
2019-03-25,46
2019-03-24,44
2019-03-23,50
2019-03-22,56
2019-03-21,62
2019-03-20,55
2019-03-19,56
2019-03-18,56
2019-03-17,58
2019-03-16,54
2019-03-15,55
2019-03-14,55
2019-03-13,54
2019-03-12,56
2019-03-11,56
2019-03-10,55
2019-03-09,55
2019-03-08,54
2019-03-07,56
2019-03-06,42
2019-03-05,35
2019-03-04,36
2019-03-03,44
2019-03-02,41
2019-03-01,42
2019-02-28,39
2019-02-27,39
2019-02-26,40
2019-02-25,47
2019-02-24,69
2019-02-23,63
2019-02-22,61
2019-02-21,59
2019-02-20,59
2019-02-19,65
2019-02-18,63
2019-02-17,38
2019-02-16,43
2019-02-15,43
2019-02-14,48
2019-02-13,48
2019-02-12,38
2019-02-11,46
2019-02-10,40
2019-02-09,42
2019-02-08,37
2019-02-07,18
2019-02-06,14
2019-02-05,21
2019-02-04,27
2019-02-03,19
2019-02-02,22
2019-02-01,23
2019-01-31,17
2019-01-30,22
2019-01-29,21
2019-01-28,35
2019-01-27,39
2019-01-26,41
2019-01-25,35
2019-01-24,37
2019-01-23,33
2019-01-22,27
2019-01-21,30
2019-01-20,35
2019-01-19,31
2019-01-18,29
2019-01-17,28
2019-01-16,24
2019-01-15,27
2019-01-14,16
2019-01-13,21
2019-01-12,22
2019-01-11,19
2019-01-10,37
2019-01-09,42
2019-01-08,39
2019-01-07,39
2019-01-06,31
2019-01-05,36
2019-01-04,48
2019-01-03,33
2019-01-02,30
2019-01-01,24
2018-12-31,26
2018-12-30,23
2018-12-29,24
2018-12-28,21
2018-12-27,29
2018-12-26,26
2018-12-25,33
2018-12-24,25
2018-12-23,31
2018-12-22,28
2018-12-21,35
2018-12-20,27
2018-12-19,21
2018-12-18,23
2018-12-17,17
2018-12-16,13
2018-12-15,11
2018-12-14,10
2018-12-13,14
2018-12-12,14
2018-12-11,15
2018-12-10,19
2018-12-09,14
2018-12-08,11
2018-12-07,11
2018-12-06,13
2018-12-05,19
2018-12-04,12
2018-12-03,17
2018-12-02,15
2018-12-01,13
2018-11-30,19
2018-11-29,18
2018-11-28,14
2018-11-27,11
2018-11-26,17
2018-11-25,9
2018-11-24,15
2018-11-23,12
2018-11-22,14
2018-11-21,15
2018-11-20,21
2018-11-19,28
2018-11-18,26
2018-11-17,24
2018-11-16,23
2018-11-15,28
2018-11-14,49
2018-11-13,56
2018-11-12,52
2018-11-11,54
2018-11-10,52
2018-11-09,47
2018-11-08,51
2018-11-07,48
2018-11-06,42
2018-11-05,42
2018-11-04,41
2018-11-03,36
2018-11-02,36
2018-11-01,29
2018-10-31,32
2018-10-30,31
2018-10-29,34
2018-10-28,35
2018-10-27,33
2018-10-26,29
2018-10-25,25
2018-10-24,23
2018-10-23,24
2018-10-22,27
2018-10-21,21
2018-10-20,21
2018-10-19,24
2018-10-18,26
2018-10-17,23
2018-10-16,24
2018-10-15,20
2018-10-14,18
2018-10-13,15
2018-10-12,13
2018-10-11,19
2018-10-10,28
2018-10-09,31
2018-10-08,26
2018-10-07,29
2018-10-06,34
2018-10-05,37
2018-10-04,29
2018-10-03,36
2018-10-02,33
2018-10-01,35
2018-09-30,34
2018-09-29,37
2018-09-28,42
2018-09-27,42
2018-09-26,37
2018-09-25,37
2018-09-24,43
2018-09-23,38
2018-09-22,35
2018-09-21,31
2018-09-20,24
2018-09-19,24
2018-09-18,21
2018-09-17,25
2018-09-16,28
2018-09-15,24
2018-09-14,23
2018-09-13,20
2018-09-12,14
2018-09-11,18
2018-09-10,15
2018-09-09,13
2018-09-08,18
2018-09-07,17
2018-09-06,14
2018-09-05,17
2018-09-04,26
2018-09-03,19
2018-09-02,18
2018-09-01,21
2018-08-31,17
2018-08-30,22
2018-08-29,19
2018-08-28,19
2018-08-27,18
2018-08-26,19
2018-08-25,22
2018-08-24,19
2018-08-23,18
2018-08-22,21
2018-08-21,19
2018-08-20,26
2018-08-19,27
2018-08-18,24
2018-08-17,19
2018-08-16,21
2018-08-15,18
2018-08-14,16
2018-08-13,21
2018-08-12,18
2018-08-11,18
2018-08-10,21
2018-08-09,19
2018-08-08,23
2018-08-07,25
2018-08-06,25
2018-08-05,23
2018-08-04,31
2018-08-03,36
2018-08-02,39
2018-08-01,39
2018-07-31,48
2018-07-30,53
2018-07-29,54
2018-07-28,54
2018-07-27,47
2018-07-26,53
2018-07-25,54
2018-07-24,49
2018-07-23,44
2018-07-22,46
2018-07-21,43
2018-07-20,47
2018-07-19,44
2018-07-18,42
2018-07-17,39
2018-07-16,36
2018-07-15,32
2018-07-14,29
2018-07-13,29
2018-07-12,33
2018-07-11,29
2018-07-10,37
2018-07-09,39
2018-07-08,38
2018-07-07,34
2018-07-06,34
2018-07-05,37
2018-07-04,33
2018-07-03,31
2018-07-02,27
2018-07-01,27
2018-06-30,22
2018-06-29,16
2018-06-28,20
2018-06-27,18
2018-06-26,21
2018-06-25,16
2018-06-24,15
2018-06-23,17
2018-06-22,28
2018-06-21,37
2018-06-20,34
2018-06-19,32
2018-06-18,27
2018-06-17,23
2018-06-16,22
2018-06-15,26
2018-06-14,17
2018-06-13,19
2018-06-12,19
2018-06-11,15
2018-06-10,24
2018-06-09,39
2018-06-08,40
2018-06-07,38
2018-06-06,42
2018-06-05,26
2018-06-04,41
2018-06-03,40
2018-06-02,27
2018-06-01,24
2018-05-31,25
2018-05-30,38
2018-05-29,16
2018-05-28,22
2018-05-27,19
2018-05-26,23
2018-05-25,25
2018-05-24,27
2018-05-23,26
2018-05-22,30
2018-05-21,41
2018-05-20,32
2018-05-19,31
2018-05-18,37
2018-05-17,31
2018-05-16,32
2018-05-15,40
2018-05-14,40
2018-05-13,40
2018-05-12,44
2018-05-11,41
2018-05-10,63
2018-05-09,53
2018-05-08,62
2018-05-07,56
2018-05-06,67
2018-05-05,63
2018-05-04,56
2018-05-03,55
2018-05-02,52
2018-05-01,56
2018-04-30,59
2018-04-29,61
2018-04-28,54
2018-04-27,55
2018-04-26,47
2018-04-25,64
2018-04-24,29
2018-04-23,28
2018-04-22,31
2018-04-21,32
2018-04-20,26
2018-04-19,25
2018-04-18,24
2018-04-17,26
2018-04-13,23
2018-04-12,18
2018-04-11,20
2018-04-10,18
2018-04-09,21
2018-04-08,17
2018-04-07,20
2018-04-06,19
2018-04-05,17
2018-04-04,22
2018-04-03,22
2018-04-02,11
2018-04-01,16
2018-03-31,16
2018-03-30,12
2018-03-29,18
2018-03-28,24
2018-03-27,24
2018-03-26,31
2018-03-25,30
2018-03-24,32
2018-03-23,28
2018-03-22,36
2018-03-21,36
2018-03-20,37
2018-03-19,29
2018-03-18,29
2018-03-17,31
2018-03-16,33
2018-03-15,32
2018-03-14,40
2018-03-13,41
2018-03-12,41
2018-03-11,40
2018-03-10,39
2018-03-09,37
2018-03-08,39
2018-03-07,37
2018-03-06,59
2018-03-05,55
2018-03-04,44
2018-03-03,56
2018-03-02,47
2018-03-01,38
2018-02-28,41
2018-02-27,44
2018-02-26,37
2018-02-25,33
2018-02-24,31
2018-02-23,39
2018-02-22,44
2018-02-21,54
2018-02-20,74
2018-02-19,67
2018-02-18,63
2018-02-17,74
2018-02-16,67
2018-02-15,71
2018-02-14,55
2018-02-13,35
2018-02-12,42
2018-02-11,31
2018-02-10,54
2018-02-09,44
2018-02-08,30
2018-02-07,36
2018-02-06,8
2018-02-05,11
2018-02-04,24
2018-02-03,40
2018-02-02,15
2018-02-01,30
